date,open,high,low,close,volume
2015-08-13,72.3999,72.7701,71.97,19.9531,22957200
2015-08-14,72.3,72.6,72.0399,20.0278,17737500
2015-08-17,71.8299,72.2301,71.76,19.8977,22813200
2015-08-18,69.9999,70.5,69.24,19.2254,63945000
2015-08-19,68.8701,69.39,67.77,18.9736,49000200
2015-08-20,68.0799,69.3,67.9401,18.9348,29580300
2015-08-21,67.9101,68.31,66.54,18.4118,47239500
2015-08-24,63.7401,66.1599,61.5,17.6952,66718800
2015-08-25,65.4501,65.7099,63.0,17.46,44403000
2015-08-26,64.23,64.8501,63.0201,17.9387,41784900
2015-08-27,65.3199,66.18,64.95,18.2846,41738400
2015-08-28,66.09,66.12,64.4499,17.9691,42909000
2015-08-31,64.8201,65.0001,64.29,17.911,24525600
2015-09-01,63.8001,64.32,63.27,17.6592,40181700
2015-09-02,64.59,64.9401,64.0599,17.8308,28543800
2015-09-03,64.7199,65.01,64.3899,17.947,25571400
2015-09-04,64.0701,64.2999,63.51,17.6786,27697200
2015-09-08,65.2299,66.5001,65.1801,18.3676,53120400
2015-09-09,66.8601,67.0101,65.01,18.019,28392600
2015-09-10,64.0701,64.65,63.8301,17.7422,43574400
2015-09-11,64.1799,64.68,63.99,17.8889,24187200
2015-09-14,64.65,64.6701,63.8199,17.7865,20870100
2015-09-15,64.4799,64.7001,64.05,17.7976,20582400
2015-09-16,64.5999,64.77,64.05,17.8999,16876200
2015-09-17,64.7001,65.2899,64.1601,17.8391,21399300
2015-09-18,63.75,64.23,63.2601,17.5264,38655600
2015-09-21,63.75,63.9999,63.3699,17.6315,21358800
2015-09-22,63.2301,63.8199,62.9199,17.5956,26402400
2015-09-23,63.72,63.93,63.12,17.6315,17629800
2015-09-24,63.36,63.9801,63.3,17.662,20868600
2015-09-25,64.0701,64.4601,63.6201,17.6481,21489000
2015-09-28,63.6,63.9501,63.48,17.6149,28183200
2015-09-29,63.75,64.0401,63.2301,17.6481,22920300
2015-09-30,64.4301,64.9401,63.93,17.9414,23937600
2015-10-01,64.7601,64.9401,63.8799,17.7837,23511600
2015-10-02,63.7599,64.98,63.4101,17.9802,21252000
2015-10-05,65.2101,65.9199,65.1399,18.2265,18900900
2015-10-06,65.5401,65.9499,65.1801,18.1739,22232700
2015-10-07,65.8401,66.36,65.7699,18.362,21408000
2015-10-08,66.2301,66.99,66.15,18.5059,17923500
2015-10-09,66.9399,67.02,66.51,18.4534,20262000
2015-10-12,66.6699,66.9999,66.5799,18.5198,16931700
2015-10-13,66.6201,66.9399,66.2601,18.4644,26575200
2015-10-14,66.6099,67.95,60.0201,16.6105,242694300
2015-10-15,59.7,60.4701,58.6101,16.4168,138760500
2015-10-16,59.4699,59.49,58.3701,16.2951,78585300
2015-10-19,58.7901,59.3001,58.5,16.284,53417400
2015-10-20,58.86,59.0001,58.5699,16.2563,31271100
2015-10-21,58.8,59.04,58.5699,16.2259,39352800
2015-10-22,58.9401,59.9601,58.6401,16.2978,43765500
2015-10-23,59.19,59.28,58.2201,16.1318,39121800
2015-10-26,58.4001,58.4499,57.9699,16.0543,32519400
2015-10-27,58.0101,58.0401,57.3801,15.9049,31534200
2015-10-28,57.66,57.72,57.1599,15.9492,35504100
2015-10-29,57.72,58.1199,57.48,16.0377,38566500
2015-10-30,57.7299,58.1199,57.24,15.8385,47416500
2015-11-02,57.2901,57.6099,56.7699,15.9409,32157600
2015-11-03,57.57,58.3299,57.5301,16.0792,30761700
2015-11-04,58.5801,58.7601,58.1901,16.1512,30169500
2015-11-05,58.5099,58.98,58.4199,16.2176,26581500
2015-11-06,58.92,59.1999,58.3101,16.2646,29931900
2015-11-09,58.5,58.7799,58.02,16.1844,25321200
2015-11-10,58.3101,58.71,58.3101,16.237,22844700
2015-11-11,58.5,58.7301,57.4701,15.9326,26069700
2015-11-12,57.6399,57.7701,56.9199,15.7582,28654500
2015-11-13,56.7399,57.06,56.3001,15.6116,37544700
2015-11-16,56.3901,58.0299,56.3601,16.0128,39964800
2015-11-17,59.34,60.9,59.1999,16.58,74037900
2015-11-18,60.0399,61.0701,59.55,16.8595,44633100
2015-11-19,61.1199,61.3599,60.4299,16.7959,34698300
2015-11-20,60.9801,61.47,60.0201,16.6215,37113300
2015-11-23,60.2901,60.7401,59.88,16.6742,31731000
2015-11-24,59.9499,60.42,59.8599,16.58,37361700
2015-11-25,60.0,60.7101,59.88,16.6686,23460600
2015-11-27,60.4401,60.69,59.8701,16.5717,16022700
2015-11-30,59.8701,60.06,58.7301,16.2812,44827800
2015-12-01,59.13,59.2899,58.65,16.3227,36612300
2015-12-02,58.6101,59.2899,58.32,16.2809,40760700
2015-12-03,58.6899,59.6601,58.5999,16.4734,47532300
2015-12-04,59.0499,59.85,59.0301,16.6464,31305900
2015-12-07,59.5701,60.7299,59.5701,16.8808,34787700
2015-12-08,60.0699,60.4899,59.4999,16.6324,31132800
2015-12-09,59.2599,60.1101,58.8999,16.4985,26945100
2015-12-10,59.13,60.09,59.0901,16.6185,34078200
2015-12-11,59.0499,59.5299,58.8099,16.5627,29235000
2015-12-14,59.3001,60.4401,59.07,16.8501,43574700
2015-12-15,60.6399,60.84,59.5701,16.6408,43846200
2015-12-16,60.1101,60.6501,59.7,16.825,29881500
2015-12-17,60.33,60.33,58.9701,16.4567,38928300
2015-12-18,58.9299,59.4,58.7499,16.4204,48770100
2015-12-21,58.8201,59.58,58.6701,16.6157,28936500
2015-12-22,59.79,60.6999,59.61,16.8919,27798900
2015-12-23,60.9999,61.1199,60.4401,17.0454,22559400
2015-12-24,60.78,61.1001,60.6801,16.9729,7448400
2015-12-28,60.5799,60.9699,60.5001,16.9505,16265100
2015-12-29,60.9999,61.7499,60.9801,17.1905,23650800
2015-12-30,61.6599,61.8699,61.4901,17.21,17150100
2015-12-31,61.3299,61.7199,61.17,17.104,19725300
2016-01-04,60.5001,61.4901,60.36,17.1487,35967600
2016-01-05,62.0301,63.0501,61.8501,17.556,39978000
2016-01-06,62.4801,63.9501,62.4699,17.7318,49693800
2016-01-07,62.97,65.2299,62.9199,18.1448,79290000
2016-01-08,65.0799,65.4099,63.4101,17.729,53303700
2016-01-11,63.7599,64.47,63.63,17.9188,37961400
2016-01-12,64.38,64.7301,63.4299,17.7513,36587700
2016-01-13,63.7299,63.7299,61.83,17.277,41177100
2016-01-14,62.0001,63.6201,61.8201,17.5951,38804700
2016-01-15,61.5501,62.4699,61.26,17.2797,45523200
2016-01-19,62.25,62.7999,62.01,17.4555,39153900
2016-01-20,61.8,62.3301,60.2001,16.9756,52107300
2016-01-21,60.9801,62.79,60.9099,17.2659,36267600
2016-01-22,62.4399,63.2601,62.13,17.4919,27592500
2016-01-25,62.7801,63.8199,62.55,17.7039,38470200
2016-01-26,63.36,64.47,63.2601,17.8573,28323600
2016-01-27,64.1001,65.1801,63.8901,17.8434,30642900
2016-01-28,64.0299,64.5099,63.4299,17.9188,33834900
2016-01-29,64.7499,66.5301,64.74,18.5158,49317300
2016-02-01,65.91,67.9299,65.8899,18.8339,44185200
2016-02-02,67.2999,67.8399,66.2799,18.6554,40757700
2016-02-03,67.3101,67.5,65.07,18.4907,36946800
2016-02-04,65.76,66.5499,65.01,18.5326,38500200
2016-02-05,66.8601,67.53,65.88,18.6944,42589500
2016-02-08,66.5001,67.1499,65.16,18.6665,62230800
2016-02-09,65.49,66.4101,64.68,18.3624,43927200
2016-02-10,66.1899,66.5901,65.6499,18.3568,29127900
2016-02-11,65.0199,65.76,64.7799,18.2256,33560100
2016-02-12,65.52,66.2499,64.8699,18.4656,29086500
2016-02-16,66.6099,66.8001,65.4999,18.3875,34081500
2016-02-17,66.0999,66.6099,65.8101,18.4461,37280100
2016-02-18,63.7401,64.7799,62.3499,17.8908,83683800
2016-02-19,63.8901,64.77,63.4401,18.0415,46686900
2016-02-22,64.6599,66.1401,64.6599,18.3122,31761900
2016-02-23,65.8401,66.6,65.28,18.5493,34296000
2016-02-24,66.1899,67.3299,65.7201,18.7279,30873600
2016-02-25,67.4499,68.13,67.3299,18.9846,28743900
2016-02-26,68.0799,68.1999,66.3,18.5577,32952900
2016-02-29,66.63,66.9501,66.2199,18.5102,28035600
